a_sabun_air_mengalir,guru_agama_budi_pekerti,guru_bahasa_indonesia,guru_bahasa_inggris,guru_kelas,guru_matematika,guru_penjaskes,guru_pkn,guru_sejarah_indonesia,guru_seni_budaya,identitas_valid,jml_jamban_digunakan,jml_jamban_tidak_digunakan,jml_lab_x,jml_perpus_x,jml_rk_x,jml_wastafel,jumlah_kirim_x,kecukupan_air,ketersediaan_air,memproses_air,minum_siswa,pd_x,pd_kelas_10_laki,pd_kelas_10_perempuan,pd_kelas_11_laki,pd_kelas_11_perempuan,pd_kelas_12_laki,pd_kelas_12_perempuan,pd_kelas_13_laki,pd_kelas_13_perempuan,pd_kelas_1_laki,pd_kelas_1_perempuan,pd_kelas_2_laki,pd_kelas_2_perempuan,pd_kelas_3_laki,pd_kelas_3_perempuan,pd_kelas_4_laki,pd_kelas_4_perempuan,pd_kelas_5_laki,pd_kelas_5_perempuan,pd_kelas_6_laki,pd_kelas_6_perempuan,pd_kelas_7_laki,pd_kelas_7_perempuan,pd_kelas_8_laki,pd_kelas_8_perempuan,pd_kelas_9_laki,pd_kelas_9_perempuan,pd_laki,pd_perempuan,pd_valid,pegawai_x,pegawai_laki,pegawai_perempuan,prasarana_valid,ptk_x,ptk_laki,ptk_perempuan,ptk_valid,rombel_x,siswa_bawa_air,sumber_air_str,tipe_jamban,toilet_siswa_kk,total_valid,sekolah_id_enkrip,bentuk_pendidikan,induk_kabupaten,induk_kecamatan,induk_provinsi,jml_lab_y,jml_perpus_y,jml_rk_y,jumlah_kirim_y,kode_wilayah_induk_kabupaten,kode_wilayah_induk_kecamatan,kode_wilayah_induk_provinsi,nama,npsn,pd_y,pegawai_y,ptk_y,rombel_y,sekolah_id,sinkron_terakhir,status_sekolah
Ya,0,0,0,0,0,0,0,0,0,100.0,6,0,1,1,6,3,7,Cukup,Ya,Ya,Disediakan sekolah,184,0,0,0,0,0,0,0,0,23,14,20,9,19,7,17,9,20,16,18,12,0,0,0,0,0,0,117,67,0,5,1,4,100.0,9,4,5,0,6,Ya,Sumur terlindungi,Leher angsa (toilet duduk/jongkok),0,50.0,241C280B29780A7277F8                                                                                ,SD,Kab. Sleman,Kec. Berbah,Prov. D.I. Yogyakarta,1,1,6,7,040200  ,040208  ,040000  ,SD MUHAMMADIYAH PAJANGAN 1,20401331,184,5,9,6,B046C35C-2EF5-E011-86EB-37618BFBF986,15 Apr 2019 08:48:26,Swasta
Ya,0,0,0,0,0,0,0,0,0,100.0,14,0,2,1,12,8,16,Cukup,Ya,Tidak,Disediakan sekolah,307,0,0,0,0,0,0,0,0,26,25,25,16,22,31,39,24,25,19,29,26,0,0,0,0,0,0,166,141,0,6,3,3,100.0,14,6,8,0,12,Ya,Sumur terlindungi,Leher angsa (toilet duduk/jongkok),0,50.0,274B09A7D3E185456BD5                                                                                ,SD,Kab. Sleman,Kec. Berbah,Prov. D.I. Yogyakarta,2,1,12,16,040200  ,040208  ,040000  ,SD MUHAMMADIYAH PAJANGAN 2,20401330,307,6,14,12,9053C35C-2EF5-E011-9E6C-2D4D13165508,25 Apr 2019 11:38:28,Swasta
Ya,0,0,0,0,0,0,0,0,0,100.0,24,0,1,1,8,5,10,Cukup,Ya,Ya,Disediakan sekolah,245,0,0,0,0,0,0,0,0,33,31,28,19,20,11,17,14,19,17,14,22,0,0,0,0,0,0,131,114,0,4,2,2,100.0,14,3,11,0,8,Tidak,Air kemasan,Leher angsa (toilet duduk/jongkok),1,50.0,07184AA80301FEF82BA3                                                                                ,SD,Kab. Sleman,Kec. Berbah,Prov. D.I. Yogyakarta,1,1,8,10,040200  ,040208  ,040000  ,SD MUHAMMADIYAH SEMOYA,20401336,245,4,14,8,8094C35C-2EF5-E011-B17A-F127C706AAD5,08 Apr 2019 12:51:06,Swasta
Ya,0,0,0,0,0,0,0,0,0,100.0,6,0,0,1,6,0,4,Cukup,Ya,Tidak,Disediakan sekolah,75,0,0,0,0,0,0,0,0,9,3,7,12,5,5,6,8,6,6,8,0,0,0,0,0,0,0,41,34,0,2,1,1,93.75,9,2,7,0,6,Ya,Sumur terlindungi,Leher angsa (toilet duduk/jongkok),0,48.44,74771806D86B92BC546E                                                                                ,SD,Kab. Sleman,Kec. Berbah,Prov. D.I. Yogyakarta,0,1,6,4,040200  ,040208  ,040000  ,SDIT SUNAN AVERROES BERBAH,60724865,75,2,9,6,C078E522-8DFC-E111-A97F-997FF680FFB0,10 Apr 2019 20:43:46,Swasta
Tidak,0,0,0,0,0,0,0,0,0,100.0,13,0,4,1,12,15,20,Cukup,Ya,Ya,Tidak disediakan,384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,62,68,60,63,65,197,187,0,9,5,4,100.0,23,8,15,0,12,Ya,Sumur terlindungi,Leher angsa (toilet duduk/jongkok),0,50.0,B6F62BB92234D0591903                                                                                ,SMP,Kab. Sleman,Kec. Berbah,Prov. D.I. Yogyakarta,4,1,12,20,040200  ,040208  ,040000  ,SMP NEGERI 1 BERBAH,20401099,384,9,23,12,00E2DD5C-2EF5-E011-9411-E1950E15E6FC,12 Apr 2019 11:13:27,Negeri
Ya,0,0,0,0,0,0,0,0,0,100.0,11,0,5,1,12,15,33,Cukup,Ya,Ya,Tidak disediakan,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,82,54,74,59,69,158,225,0,10,6,4,100.0,26,9,17,0,12,Ya,Sumur terlindungi,Leher angsa (toilet duduk/jongkok),0,50.0,3022ADA466470F65DB8F                                                                                ,SMP,Kab. Sleman,Kec. Berbah,Prov. D.I. Yogyakarta,5,1,12,33,040200  ,040208  ,040000  ,SMP NEGERI 2 BERBAH,20401059,383,10,26,12,00EFDD5C-2EF5-E011-BB0E-2D1E91668586,02 May 2019 07:15:04,Negeri
Ya,0,0,0,0,0,0,0,0,0,100.0,6,0,2,2,12,20,30,Cukup,Ya,Ya,Tidak disediakan,377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,63,58,69,61,64,181,196,0,8,5,3,100.0,23,11,12,0,12,Ya,Pompa,Leher angsa (toilet duduk/jongkok),0,50.0,165E3D51FB4A23E1E1BC                                                                                ,SMP,Kab. Sleman,Kec. Berbah,Prov. D.I. Yogyakarta,2,2,12,30,040200  ,040208  ,040000  ,SMP NEGERI 3 BERBAH,20401086,377,8,23,12,E0FBDD5C-2EF5-E011-9B2C-778F3DAE2C1A,04 May 2019 07:44:29,Negeri
Tidak,0,0,0,0,0,0,0,0,0,100.0,7,0,1,1,9,7,14,Cukup,Ya,Ya,Tidak disediakan,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,27,62,39,43,32,172,98,0,6,4,2,100.0,19,8,11,0,9,Ya,Sumur terlindungi,Leher angsa (toilet duduk/jongkok),7,50.0,D825BBFA1817E6DA41B8                                                                                ,SMP,Kab. Sleman,Kec. Berbah,Prov. D.I. Yogyakarta,1,1,9,14,040200  ,040208  ,040000  ,SMP MUHAMMADIYAH 1 BERBAH,20401057,270,6,19,9,60BDE75C-2EF5-E011-B78B-EB216348FD29,29 Apr 2019 07:43:29,Swasta
Ya,0,0,0,0,0,0,0,0,0,88.89,5,0,2,1,3,5,7,Cukup,Ya,Tidak,Tidak disediakan,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,7,6,7,15,19,0,1,0,1,100.0,17,5,12,0,3,Tidak,Sumur terlindungi,Leher angsa (toilet duduk/jongkok),3,47.22,600D40D249642734C173                                                                                ,SMP,Kab. Sleman,Kec. Berbah,Prov. D.I. Yogyakarta,2,1,3,7,040200  ,040208  ,040000  ,SMP SUNAN AVERROES ,60724862,34,1,17,3,004DF45B-2EF5-E011-B139-97BBE4BFDCFC,30 Mar 2019 11:23:19,Swasta
Tidak,0,0,0,0,0,0,0,0,0,66.67,10,0,1,1,3,5,4,Cukup,Ya,Ya,Disediakan sekolah,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,4,2,4,5,20,18,0,2,1,1,100.0,11,6,5,0,3,Ya,Mata air terlindungi,Leher angsa (toilet duduk/jongkok),0,41.67,F54CDCC517AA8365A4E2                                                                                ,SMP,Kab. Sleman,Kec. Berbah,Prov. D.I. Yogyakarta,1,1,3,4,040200  ,040208  ,040000  ,SMPSIT RAUDHATUS SALAAM,60724861,38,2,11,3,112C1D75-8E1C-430E-A441-A5D4C2CE8481,20 Mar 2019 10:13:26,Swasta
